afid,number_occurences,affilname,affiliation_city,affiliation_country,city_country,lat,long
60005565,2,"California State Polytechnic University, Pomona",Pomona,United States,"Pomona, United States",34.0553813,-117.7517496
60006082,2,National Pingtung University of Science and Technology,Pingtung,Taiwan,"Pingtung, Taiwan",22.6828017,120.487928
60006173,2,University of Missouri,Columbia,United States,"Columbia, United States",34.0374165,-80.82240445378864
60007061,2,Università degli Studi di Salerno,Salerno,Italy,"Salerno, Italy",40.419441649999996,15.310756230322482
60007173,2,University of Wolverhampton,Wolverhampton,United Kingdom,"Wolverhampton, United Kingdom",52.5847651,-2.127567
60007249,2,Universidade do Porto,Porto,Portugal,"Porto, Portugal",41.1494512,-8.6107884
60007830,2,Hankuk University of Foreign Studies,Seoul,South Korea,"Seoul, South Korea",37.5666791,126.9782914
60007945,2,University of South Florida Sarasota-Manatee,Sarasota,United States,"Sarasota, United States",27.3365805,-82.5308545
60010023,2,Rijksuniversiteit Groningen,Groningen,Netherlands,"Groningen, Netherlands",53.2190652,6.5680077
60011357,2,National Sun Yat-Sen University,Kaohsiung,Taiwan,"Kaohsiung, Taiwan",22.6203348,120.3120375
60012369,2,Chinese Culture University Taiwan,Taipei,Taiwan,"Taipei, Taiwan",25.0375198,121.5636796
60012556,2,Philipps-Universität Marburg,Marburg,Germany,"Marburg, Germany",50.8090106,8.7704695
60012708,2,Stanford University,Palo Alto,United States,"Palo Alto, United States",37.4443293,-122.1598465
60013395,2,Yuan Ze University,Taoyuan,Taiwan,"Taoyuan, Taiwan",24.9929995,121.3010003
60013959,2,University of Florida,Gainesville,United States,"Gainesville, United States",29.6519684,-82.3249846
60014662,2,Drexel University,Philadelphia,United States,"Philadelphia, United States",39.9527237,-75.1635262
60014930,2,Dokuz Eylül Üniversitesi,Izmir,Turkey,"Izmir, Turkey",38.4237433,27.1428019
60016897,2,Erasmus School of Economics,Rotterdam,Netherlands,"Rotterdam, Netherlands",51.9244424,4.47775
60017456,2,Jinan University,Guangzhou,China,"Guangzhou, China",23.1301964,113.2592945
60017511,2,National Chung Hsing University,Taichung,Taiwan,"Taichung, Taiwan",24.163162,120.6478282
